Date,Open,High,Low,Close,Adj Close,Volume
2025-04-02,95.03,101.45,94.65,100.65,100.65,7892000
2025-04-03,87.32,87.7,81.25,82.29,82.29,28920200
2025-04-04,77.48,78.27,69.84,76.89,76.89,29707500
2025-04-07,70.29,83.47,69.99,78.82,78.82,22525900
2025-04-08,83.93,86.36,75.23,77.09,77.09,18606200
2025-04-09,75.38,94.14,74.67,91.4,91.4,26917500
2025-04-10,87.24,87.4,81.39,84.63,84.63,16133700
2025-04-11,84.72,85.21,78.0,83.71,83.71,18099200
2025-04-14,87.06,88.27,81.92,82.77,82.77,10460400
2025-04-15,82.71,84.68,81.93,83.91,83.91,6986400
2025-04-16,81.61,85.35,81.32,83.96,83.96,8811900
2025-04-17,84.0,85.08,81.84,83.65,83.65,11592900
2025-04-21,82.27,83.14,80.35,81.64,81.64,8153000
2025-04-22,82.99,86.61,81.64,85.71,85.71,8664000
2025-04-23,91.53,95.45,89.92,90.96,90.96,14029000
2025-04-24,90.64,95.26,89.41,95.12,95.12,7847300
2025-04-25,95.79,98.64,95.36,97.12,97.12,7824800
2025-04-28,96.85,99.07,96.5,98.57,98.57,5892900
2025-04-29,98.83,99.82,97.84,98.92,98.92,6797200
2025-04-30,96.14,96.14,92.4,95.0,95.0,13233200
2025-05-01,98.21,98.89,95.55,97.01,97.01,8288000
2025-05-02,98.1,100.49,97.63,99.25,99.25,11140800
2025-05-05,95.4,99.46,95.24,98.38,98.38,7652400
2025-05-06,97.05,97.4,93.58,93.83,93.83,13082100
2025-05-07,94.67,96.6,94.23,94.5,94.5,14723900
2025-05-08,89.68,95.82,88.14,94.0,94.0,36455400
2025-05-09,94.47,94.91,88.9,91.77,91.77,15360700
2025-05-12,104.0,106.35,99.01,104.34,104.34,30713700
2025-05-13,106.35,109.0,106.06,107.68,107.68,14517900
2025-05-14,108.41,111.88,108.25,111.45,111.45,16384000
2025-05-15,109.93,111.73,108.39,110.21,110.21,13577300
2025-05-16,111.56,112.38,109.8,110.75,110.75,96081400
2025-05-19,108.81,109.92,106.82,109.1,109.1,9809700
2025-05-20,108.63,109.09,104.61,106.43,106.43,8294500
2025-05-21,104.99,105.58,101.55,102.32,102.32,9251300
2025-05-22,102.42,104.76,101.78,103.29,103.29,6216400
2025-05-23,100.81,102.96,100.31,101.51,101.51,5999500
2025-05-27,104.36,107.48,103.9,106.74,106.74,7556600
2025-05-28,106.53,108.14,105.57,107.11,107.11,6823400
2025-05-29,109.69,110.68,107.15,107.7,107.7,6636000
2025-05-30,107.32,107.69,103.91,107.22,107.22,12183300
2025-06-02,106.25,107.35,103.73,106.54,106.54,5341400
2025-06-03,104.8,106.56,104.29,105.11,105.11,7236200
2025-06-04,105.44,105.75,102.81,103.58,103.58,7465100
2025-06-05,104.0,106.56,103.1,105.03,105.03,11085300
2025-06-06,106.99,112.08,106.66,111.41,111.41,8736300
2025-06-09,110.42,111.0,107.76,107.8,107.8,7738800
2025-06-10,108.36,110.61,107.35,110.26,110.26,6548500
2025-06-11,111.62,117.36,111.29,114.13,114.13,14078100
2025-06-12,113.25,113.57,108.87,109.21,109.21,8669300
2025-06-13,105.53,107.01,104.66,105.34,105.34,7979400
2025-06-16,107.96,109.48,107.01,108.37,108.37,7266600
2025-06-17,107.3,108.54,106.34,106.53,106.53,4910900
2025-06-18,106.52,107.7,105.3,105.97,105.97,5960400
2025-06-20,107.72,109.12,105.73,106.4,106.4,10354900
2025-06-23,106.19,110.06,103.91,109.98,109.98,8834000
2025-06-24,112.23,115.16,111.85,114.42,114.42,8907500
2025-06-25,114.28,114.5,112.86,113.89,113.89,9134700
2025-06-26,113.76,113.76,108.33,113.07,113.07,11368200
2025-06-27,113.09,115.06,111.91,113.65,113.65,6377900
2025-06-30,115.09,116.6,113.96,115.35,115.35,7107500
2025-07-01,114.31,116.12,112.07,112.67,112.67,5537900
2025-07-02,111.8,117.18,111.78,114.77,114.77,6726100
2025-07-03,114.98,117.46,114.97,116.52,116.52,3773600
2025-07-07,115.95,117.07,114.89,116.66,116.66,5420500
2025-07-08,117.41,118.35,111.33,112.48,112.48,7718000
2025-07-09,113.17,114.93,112.59,114.32,114.32,6125800
2025-07-10,114.46,116.54,112.36,115.16,115.16,6836200
2025-07-11,114.03,116.31,111.39,112.11,112.11,5582800
2025-07-14,112.9,118.46,111.72,116.74,116.74,10225400
2025-07-15,116.99,118.65,114.65,115.05,115.05,5440500
2025-07-16,114.29,120.18,112.59,120.0,120.0,12714100
2025-07-17,120.04,127.34,119.67,126.75,126.75,13380600
2025-07-18,127.83,129.08,125.89,127.07,127.07,8473600
2025-07-21,126.83,129.29,126.6,128.43,128.43,6419800
2025-07-22,126.6,127.24,122.54,123.71,123.71,9045400
2025-07-23,122.81,123.11,118.87,122.21,122.21,8523600
2025-07-24,122.85,122.85,120.71,122.08,122.08,4313100
2025-07-25,122.19,125.57,121.6,124.43,124.43,6935300
2025-07-28,126.1,128.15,125.81,126.84,126.84,5335800
2025-07-29,126.6,127.62,123.28,124.85,124.85,5911800
2025-07-30,123.97,125.94,122.16,123.01,123.01,6702700
2025-07-31,125.35,126.58,122.05,122.21,122.21,8493500
2025-08-01,118.05,120.19,115.95,118.6,118.6,9886700
2025-08-04,120.23,125.49,120.23,125.21,125.21,6881700
2025-08-05,125.0,127.23,123.0,127.0,127.0,9223300
2025-08-06,145.16,156.39,145.11,154.9,154.9,38572100
2025-08-07,154.46,156.85,147.5,151.07,151.07,15934800
2025-08-08,150.49,150.73,148.03,149.61,149.61,9571000
2025-08-11,150.76,153.32,147.22,147.5,147.5,10131000
2025-08-12,148.02,150.7,147.08,149.3,149.3,7173100
2025-08-13,150.21,151.65,148.39,150.09,150.09,6660700
2025-08-14,148.38,148.5,142.93,144.27,144.27,9499700
2025-08-15,144.27,145.22,140.7,141.47,141.47,7198800
2025-08-18,141.38,143.37,140.07,143.11,143.11,4435700
2025-08-19,143.0,144.41,138.97,139.25,139.25,6339500
2025-08-20,137.92,138.53,134.75,137.29,137.29,7256000
2025-08-21,136.26,137.96,134.88,136.68,136.68,4420400
2025-08-22,136.78,143.17,135.38,142.11,142.11,7649800
2025-08-25,140.75,142.86,139.5,140.53,140.53,4945000
2025-08-26,140.89,141.18,139.12,140.85,140.85,4409000
2025-08-27,142.08,142.5,137.28,139.89,139.89,5272200
2025-08-28,140.82,144.2,140.59,141.54,141.54,6339600
2025-08-29,141.43,143.09,139.91,141.28,141.28,4617000
2025-09-02,136.95,139.32,133.4,139.04,139.04,5082300
2025-09-03,140.0,140.99,138.11,140.22,140.22,3531500
2025-09-04,140.9,145.61,140.07,145.15,145.15,6538700
2025-09-05,146.59,147.97,144.92,146.82,146.82,5727700
2025-09-08,147.56,148.57,144.08,146.22,146.22,5782100
2025-09-09,145.02,146.61,142.85,143.44,143.44,5748600
2025-09-10,144.55,145.46,141.3,142.2,142.2,7362100
2025-09-11,142.05,146.99,142.05,145.03,145.03,6051900
2025-09-12,143.52,144.62,141.52,143.38,143.38,4911600
2025-09-15,144.24,148.2,142.89,147.89,147.89,6714600
2025-09-16,149.09,150.17,145.2,147.21,147.21,5453800
2025-09-17,148.47,149.1,145.37,147.87,147.87,4291200
2025-09-18,149.5,152.93,148.19,152.11,152.11,6485800
2025-09-19,151.96,155.13,151.75,153.3,153.3,8812900
2025-09-22,153.18,159.01,151.81,157.12,157.12,7020700
2025-09-23,157.1,157.19,149.1,149.94,149.94,7376000
2025-09-24,150.79,152.31,148.28,148.83,148.83,5559500
2025-09-25,145.0,145.14,142.09,143.45,143.45,8511200
2025-09-26,143.12,144.0,139.5,140.25,140.25,7259500
2025-09-29,141.75,149.58,140.91,149.0,149.0,14702700
2025-09-30,147.99,151.78,145.47,148.61,148.61,9254600
2025-10-01,146.28,151.74,146.1,149.57,149.57,6733300
2025-10-02,151.25,151.47,147.85,151.3,151.3,7272300
2025-10-03,152.88,162.6,152.5,161.14,161.14,15740200
2025-10-06,166.55,169.69,162.81,164.5,164.5,11317600
2025-10-07,165.0,168.4,160.74,161.28,161.28,6971900
2025-10-08,163.0,167.54,163.0,166.43,166.43,7366600
2025-10-09,166.7,167.6,162.47,163.87,163.87,7050500
2025-10-10,164.01,165.25,150.6,151.02,151.02,12431500
2025-10-13,154.12,154.97,151.1,153.66,153.66,7986400
2025-10-14,148.42,154.92,145.16,152.88,152.88,8698200
2025-10-15,154.95,158.66,154.24,156.21,156.21,6010000
2025-10-16,160.76,164.95,155.89,156.57,156.57,8937700
2025-10-17,155.88,158.91,154.53,157.76,157.76,7595100
2025-10-20,159.43,165.08,159.43,164.71,164.71,6266200
2025-10-21,164.79,165.2,161.11,162.64,162.64,6138500
2025-10-22,162.49,163.35,159.23,162.01,162.01,6207000
2025-10-23,162.5,167.67,162.14,167.03,167.03,6171500
2025-10-24,168.5,174.74,168.5,172.95,172.95,8382300
2025-10-27,174.78,176.88,172.63,175.06,175.06,9929500
2025-10-28,173.43,179.6,172.8,178.96,178.96,7167800
2025-10-29,180.0,182.19,176.3,179.01,179.01,10790100
2025-10-30,176.93,178.23,172.69,173.61,173.61,9394500
2025-10-31,178.95,179.76,171.69,173.86,173.86,10953300
2025-11-03,175.5,178.38,169.72,172.94,172.94,14631500
2025-11-04,163.07,174.13,160.46,160.94,160.94,16121600
2025-11-05,159.56,166.68,156.23,162.92,162.92,9710600
2025-11-06,162.43,163.09,155.34,156.05,156.05,10030000
2025-11-07,153.95,154.0,146.88,152.41,152.41,11322800
2025-11-10,157.12,159.63,155.75,158.88,158.88,10493300
2025-11-11,156.83,160.04,155.52,158.94,158.94,5344200
2025-11-12,160.11,160.49,156.23,156.59,156.59,6585700
2025-11-13,153.84,155.0,143.8,146.34,146.34,11351200
2025-11-14,142.33,149.72,141.0,146.04,146.04,8384300
2025-11-17,143.65,145.3,138.71,139.93,139.93,12531800
2025-11-18,137.5,142.42,136.18,140.45,140.45,12873800
2025-11-19,141.7,147.05,140.61,146.0,146.0,9572000
2025-11-20,154.49,154.87,143.81,144.56,144.56,13447300
2025-11-21,144.57,149.88,142.43,147.8,147.8,10260300
2025-11-24,149.02,156.35,147.08,155.31,155.31,9141900
